timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:38:19,0.051839,0,1,39,13,39,0,1
2025-11-24 15:38:20,0.051554,1,1,38,13,39,0,1
2025-11-24 15:38:20,0.050899,0,1,39,13,39,0,1
2025-11-24 15:38:20,0.051138,1,1,37,13,39,0,1
2025-11-24 15:38:20,0.050854,1,1,38,13,39,0,1
2025-11-24 15:38:20,0.051113,0,1,38,13,39,0,1
2025-11-24 15:38:20,0.051090,1,1,38,13,39,0,1
2025-11-24 15:38:20,0.051184,1,1,37,13,39,0,1
2025-11-24 15:38:20,0.051104,0,1,39,13,39,0,1
2025-11-24 15:38:20,0.051521,0,1,38,13,39,0,1
2025-11-24 15:38:20,0.050943,0,1,39,13,39,0,1
2025-11-24 15:38:20,0.051244,1,1,39,13,39,0,1
2025-11-24 15:38:20,0.051080,0,1,37,13,39,0,1
2025-11-24 15:38:20,0.051875,0,1,37,13,39,0,1
2025-11-24 15:38:20,0.050447,0,1,38,13,39,0,1
2025-11-24 15:38:20,0.051121,0,1,38,13,39,0,1
2025-11-24 15:38:20,0.051127,0,1,38,13,39,0,1
2025-11-24 15:38:20,0.051557,1,1,38,13,39,0,1
2025-11-24 15:38:20,0.051474,1,1,37,13,39,0,1
2025-11-24 15:38:20,0.051390,0,1,39,13,39,0,1
2025-11-24 15:38:21,0.051107,0,1,39,13,39,0,1
2025-11-24 15:38:21,0.114468,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.051529,0,1,38,13,38,0,1
2025-11-24 15:38:21,0.051316,1,1,37,13,38,0,1
2025-11-24 15:38:21,0.051107,0,1,37,13,38,0,1
2025-11-24 15:38:21,0.051564,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.050867,0,1,37,13,38,0,1
2025-11-24 15:38:21,0.050943,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.051149,1,1,37,13,38,0,1
2025-11-24 15:38:21,0.051237,0,1,37,13,38,0,1
2025-11-24 15:38:21,0.051082,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.051345,1,1,37,13,38,0,1
2025-11-24 15:38:21,0.050702,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.053074,0,1,37,13,38,0,1
2025-11-24 15:38:21,0.051694,0,1,38,13,38,0,1
2025-11-24 15:38:21,0.051478,1,1,38,13,38,0,1
2025-11-24 15:38:21,0.051001,0,1,39,13,38,0,1
2025-11-24 15:38:21,0.051234,1,1,37,13,38,0,1
2025-11-24 15:38:22,0.051153,1,1,39,13,38,0,1
2025-11-24 15:38:22,0.050851,0,1,39,13,38,0,1
2025-11-24 15:38:22,0.050859,1,1,39,13,38,0,1
2025-11-24 15:38:22,0.051006,1,1,38,13,38,0,1
2025-11-24 15:38:22,0.050916,1,1,38,13,38,0,1
2025-11-24 15:38:22,0.051008,1,1,39,13,38,0,1
2025-11-24 15:38:22,0.051039,0,1,39,13,38,0,1
2025-11-24 15:38:22,0.050840,0,1,39,13,38,0,1
2025-11-24 15:38:22,0.051720,0,1,39,13,38,0,1
2025-11-24 15:38:22,0.051188,0,1,37,13,38,0,1
2025-11-24 15:38:22,0.050993,1,1,39,13,38,0,1
2025-11-24 15:38:22,0.051121,0,1,38,13,38,0,1
2025-11-24 15:38:22,0.050731,0,1,37,13,38,0,1
